fecha,hora,delitos_code,Latitude,Longitude
2/14/2013 0:00,16:00:00,Apropiacion Ilegal,18.427255,-66.491049
11/9/2013 0:00,22:00:00,Vehiculo Hurtado,18.470007,-66.853464
7/27/2013 0:00,22:00:00,Apropiacion Ilegal,18.438576,-66.541382
2/24/2013 0:00,19:10:00,Asesinato,18.43795,-66.442745
4/5/2013 0:00,16:00:00,Apropiacion Ilegal,18.433374,-66.481743
6/8/2013 0:00,22:10:00,Escalamiento,18.488912,-66.643559
5/26/2013 0:00,17:00:00,Apropiacion Ilegal,18.482462,-66.826133
6/18/2013 0:00,1:40:00,Asesinato,18.383134,-66.747341
8/20/2013 0:00,9:30:00,Escalamiento,18.487303,-66.78556
7/31/2013 0:00,21:00:00,Escalamiento,18.33905,-66.428199
9/16/2013 0:00,15:00:00,Escalamiento,18.406866,-66.775136
12/21/2013 0:00,23:00:00,Escalamiento,18.427391,-66.454861
5/15/2013 0:00,9:00:00,Escalamiento,18.458332,-66.772198
1/10/2013 0:00,11:00:00,Apropiacion Ilegal,18.37334,-66.808301
6/25/2013 0:00,14:00:00,Apropiacion Ilegal,18.294618,-66.445348
9/3/2013 0:00,23:55:00,Apropiacion Ilegal,18.476672,-66.850359
2/23/2013 0:00,14:40:00,Apropiacion Ilegal,18.471311,-66.72678
12/31/2013 0:00,8:00:00,Apropiacion Ilegal,18.471256,-66.715173
3/1/2013 0:00,2:00:00,Apropiacion Ilegal,18.466203,-66.810004
5/1/2013 0:00,4:00:00,Apropiacion Ilegal,18.443714,-66.919748
12/22/2013 0:00,15:00:00,Escalamiento,18.45832,-66.907218
1/23/2013 0:00,14:00:00,Apropiacion Ilegal,18.46509,-66.741939
1/22/2013 0:00,9:00:00,Escalamiento,18.432015,-66.483091
5/17/2013 0:00,6:00:00,Apropiacion Ilegal,18.296185,-66.492801
11/27/2013 0:00,22:00:00,Apropiacion Ilegal,18.429671,-66.493253
4/1/2013 0:00,18:00:00,Escalamiento,18.374476,-66.596343
2/10/2013 0:00,21:20:00,Robo,18.456555,-66.775348
7/20/2013 0:00,17:00:00,Apropiacion Ilegal,18.436548,-66.542814
12/26/2013 0:00,9:00:00,Apropiacion Ilegal,18.424279,-66.475425
5/28/2013 0:00,17:00:00,Apropiacion Ilegal,18.432436,-66.551901
8/30/2013 0:00,22:00:00,Apropiacion Ilegal,18.45129,-66.541514
12/31/2013 0:00,22:00:00,Apropiacion Ilegal,18.489348,-66.941456
3/20/2013 0:00,14:00:00,Apropiacion Ilegal,18.438892,-66.541039
5/25/2013 0:00,10:00:00,Escalamiento,18.474074,-66.937728
